id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,location/display_address/2,phone,display_phone,distance,transactions/0,transactions/1
i1GWpxJ1Phm2awhVaTkouA,juniper-austin,Juniper,https://s3-media2.fl.yelpcdn.com/bphoto/Cyl9I82XMZfeFJpsavi05g/o.jpg,false,https://www.yelp.com/biz/juniper-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,226,italian,Italian,modern_european,Modern European,newamerican,American (New),4,30.25486,-97.71762,$$$,2400 E Cesar Chavez,Ste 304,,Austin,78702,US,TX,2400 E Cesar Chavez,Ste 304,"Austin, TX 78702",+15122209421,(512) 220-9421,97.22877996573831,,
cXfrjcNQ4msDvvR-9yFJaA,pitchfork-pretty-austin,Pitchfork Pretty,https://s3-media1.fl.yelpcdn.com/bphoto/D4u6z8tbUe5LmYmxPhZ1Yg/o.jpg,false,https://www.yelp.com/biz/pitchfork-pretty-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,115,cocktailbars,Cocktail Bars,newamerican,American (New),bbq,Barbeque,4,30.25343,-97.71351,$$,2708 E Cesar Chavez,,,Austin,78702,US,TX,2708 E Cesar Chavez,"Austin, TX 78702",,+15124944593,(512) 494-4593,339.65034186259885,,
yqL1P6wcSZYQAgpO3TfhBQ,kemuri-tatsu-ya-austin-2,Kemuri Tatsu-ya,https://s3-media1.fl.yelpcdn.com/bphoto/4gmKgKzBHSxAEqy7Cr08Bg/o.jpg,false,https://www.yelp.com/biz/kemuri-tatsu-ya-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,330,izakaya,Izakaya,smokehouse,Smokehouse,,,4,30.2537937164307,-97.7129516601562,$$,2713 E 2nd St,,,Austin,78702,US,TX,2713 E 2nd St,"Austin, TX 78702",,+15128935561,(512) 893-5561,383.56917165609036,,
0m9yum2bqMCQtxbHuQbQFw,dee-dee-austin-2,DEE DEE,https://s3-media4.fl.yelpcdn.com/bphoto/7gVj_M86bpbR-z8eqTXD-Q/o.jpg,false,https://www.yelp.com/biz/dee-dee-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,271,thai,Thai,foodtrucks,Food Trucks,,,5,30.25901,-97.71445,$$,2500 E 6th St,,,Austin,78702,US,TX,2500 E 6th St,"Austin, TX 78702",,,,565.3255446298579,,
fTwvEZw8tvF73QxcX-5TdA,mongers-market-kitchen-austin-2,Mongers Market + Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/geEdWhzSDbYMVJCeR3KikQ/o.jpg,false,https://www.yelp.com/biz/mongers-market-kitchen-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,246,seafood,Seafood,,,,,4,30.254511,-97.717614,$$,2401 E Cesar Chavez,,,Austin,78702,US,TX,2401 E Cesar Chavez,"Austin, TX 78702",,+15122158972,(512) 215-8972,70.72706574311927,,
MnO3YMUGAnkHm-iy5wo0mQ,intero-restaurant-austin,Intero Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/Du5AFAGVl2twxjpuQ-STnQ/o.jpg,false,https://www.yelp.com/biz/intero-restaurant-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,57,italian,Italian,coffee,Coffee & Tea,,,4.5,30.2538078303281,-97.7146533178121,$$,2612 E Cesar Chavez St,,,Austin,78702,US,TX,2612 E Cesar Chavez St,"Austin, TX 78702",,+15125994052,(512) 599-4052,224.43057044959215,,
qt2UknagkAEnwBnLf2m__g,in-the-coconut-austin-3,In The Coconut,https://s3-media4.fl.yelpcdn.com/bphoto/EjfABKh7jpYEdsP-OXhLmQ/o.jpg,false,https://www.yelp.com/biz/in-the-coconut-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,8,southern,Southern,cajun,Cajun/Creole,,,4.5,30.25568,-97.72109,$,2125 E Cesar Chavez St,,,Austin,78702,US,TX,2125 E Cesar Chavez St,"Austin, TX 78702",,+15128881597,(512) 888-1597,426.9020325146381,pickup,
bJbJyH6sZeltbBIbe32R8g,juan-in-a-million-austin-2,Juan In A Million,https://s3-media2.fl.yelpcdn.com/bphoto/vIdQx8WRYPYi_G193VVEZA/o.jpg,false,https://www.yelp.com/biz/juan-in-a-million-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1463,mexican,Mexican,breakfast_brunch,Breakfast & Brunch,tex-mex,Tex-Mex,4,30.2552660599625,-97.7190592909029,$,2300 E Cesar Chavez St,,,Austin,78702,US,TX,2300 E Cesar Chavez St,"Austin, TX 78702",,+15124723872,(512) 472-3872,230.02089662757655,,
1t9mjYJYG816byi0aB_Qbw,the-lucky-belly-austin,The Lucky Belly,https://s3-media3.fl.yelpcdn.com/bphoto/ITyxiCDMMJoDfUFAvtIlqA/o.jpg,false,https://www.yelp.com/biz/the-lucky-belly-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,50,foodtrucks,Food Trucks,thai,Thai,,,4,30.255145,-97.720078,$,2207 E Cesar Chavez,,,Austin,78702,US,TX,2207 E Cesar Chavez,"Austin, TX 78702",,+15124262624,(512) 426-2624,317.4380953778282,pickup,
LinZJmeh2jQxBVbqN0ixgQ,counter-culture-austin,Counter Culture,https://s3-media2.fl.yelpcdn.com/bphoto/A-9HGnyXOtg7JQLRSZkavw/o.jpg,false,https://www.yelp.com/biz/counter-culture-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,613,vegan,Vegan,,,,,4,30.254728,-97.717401,$$,2337 E Cesar Chavez St,,,Austin,78702,US,TX,2337 E Cesar Chavez St,"Austin, TX 78702",,+15125241540,(512) 524-1540,61.93813642435315,pickup,
