id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,transactions/0,categories/2/alias,categories/2/title,transactions/1,location/display_address/2
AcFt364BrHyMu3VrSCKMOw,salty-sow-austin,Salty Sow,https://s3-media1.fl.yelpcdn.com/bphoto/0dHPMIbmgYdeBrjlZlA0mA/o.jpg,false,https://www.yelp.com/biz/salty-sow-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,2145,tradamerican,American (Traditional),gastropubs,Gastropubs,4.5,30.2836497259461,-97.7213180065155,$$,1917 Manor Rd,,,Austin,78722,US,TX,1917 Manor Rd,"Austin, TX 78722",+15123912337,(512) 391-2337,545.7361383465952,,,,,
PqdSkcG_kN4OtaFaiRWU_Q,yuyo-austin,Yuyo,https://s3-media3.fl.yelpcdn.com/bphoto/63yTNJ0Gn5oUDelInQRYqA/o.jpg,false,https://www.yelp.com/biz/yuyo-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,60,peruvian,Peruvian,seafood,Seafood,4,30.28407,-97.72177,$$,1900 Manor Rd,,,Austin,78722,US,TX,1900 Manor Rd,"Austin, TX 78722",+15129194147,(512) 919-4147,575.0572241242841,,,,,
WU405iLje8cPyYwL1BFfeg,abo-youssef-austin-2,Abo Youssef,https://s3-media2.fl.yelpcdn.com/bphoto/33D1s7N72j3ruWSBhWWg1g/o.jpg,false,https://www.yelp.com/biz/abo-youssef-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,313,mediterranean,Mediterranean,foodtrucks,Food Trucks,4.5,30.283955,-97.719837,$,2101 Manor Rd,,,Austin,78722,US,TX,2101 Manor Rd,"Austin, TX 78722",+15128156804,(512) 815-6804,647.6680477459716,pickup,,,,
VZ-o_ox2Dycsbp77bJ24OQ,chicken-lollypop-austin-2,Chicken Lollypop,https://s3-media3.fl.yelpcdn.com/bphoto/C2iRulygfX0sp-u3Kzwy5A/o.jpg,false,https://www.yelp.com/biz/chicken-lollypop-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,15,indpak,Indian,chinese,Chinese,5,30.27412,-97.72018,,1206 Chicon St.,,,Austin,78702,US,TX,1206 Chicon St.,"Austin, TX 78702",+15129099826,(512) 909-9826,663.0638131452401,,,,,
6-PThU0EzyDg1HHEJ8Y4WQ,eastside-cafe-austin,Eastside Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/3NZSsSuMii3UMJ_Zekweqg/o.jpg,false,https://www.yelp.com/biz/eastside-cafe-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,876,tradamerican,American (Traditional),breakfast_brunch,Breakfast & Brunch,4,30.284,-97.7195,$$,2113 Manor Rd,,,Austin,78722,US,TX,2113 Manor Rd,"Austin, TX 78722",+15124765858,(512) 476-5858,666.3205886906181,,bars,Bars,,
8Gs5Civ8LpPKu_lc-bmn4g,austin-daily-press-austin-4,Austin Daily Press,https://s3-media2.fl.yelpcdn.com/bphoto/zGaK782A-Osfyn7CGC_mbQ/o.jpg,false,https://www.yelp.com/biz/austin-daily-press-austin-4?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,212,delis,Delis,sandwiches,Sandwiches,4.5,30.2802176628505,-97.7211093269837,$,1900 E Martin Luther King Blvd,B,,Austin,78702,US,TX,1900 E Martin Luther King Blvd,B,+15128286463,(512) 828-6463,278.095489710497,pickup,comfortfood,Comfort Food,delivery,"Austin, TX 78702"
SFoGyxiKkdllB1lzYZtqrw,elaines-at-eastside-cafe-austin-2,Elaine's at Eastside Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/quZaFQzjX8ZXpUaQPMMP6g/o.jpg,false,https://www.yelp.com/biz/elaines-at-eastside-cafe-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,107,tradamerican,American (Traditional),,,4.5,30.284,-97.7195,$,2113 Manor Rd,,,Austin,78722,US,TX,2113 Manor Rd,"Austin, TX 78722",+15124941464,(512) 494-1464,677.7627590832689,,,,,
VXJR1VTskAKspL9G0Md1bA,el-chile-café-y-cantina-austin-6,El Chile Café Y Cantina,https://s3-media2.fl.yelpcdn.com/bphoto/6MAckOq4fO31qCZpwnN54w/o.jpg,false,https://www.yelp.com/biz/el-chile-caf%C3%A9-y-cantina-austin-6?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,385,mexican,Mexican,,,3.5,30.28351,-97.72256,$$,1809 Manor Rd,,,Austin,78722,US,TX,1809 Manor Rd,"Austin, TX 78722",+15124579900,(512) 457-9900,488.6094526788533,,,,,
BRPcQEdlla9YaM4TPqkYrQ,hoovers-cooking-austin,Hoover's Cooking,https://s3-media3.fl.yelpcdn.com/bphoto/bI20iY4RCSvv-2p_iOeiFw/o.jpg,false,https://www.yelp.com/biz/hoovers-cooking-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,725,southern,Southern,tradamerican,American (Traditional),3.5,30.2843863,-97.720344,$$,2002 Manor Rd,,,Austin,78722,US,TX,2002 Manor Rd,"Austin, TX 78722",+15124795006,(512) 479-5006,661.7547968392795,,comfortfood,Comfort Food,,
-6obgh8LkS9L0Ww1zHdTNg,galloways-sandwich-shop-austin,Galloway's Sandwich Shop,https://s3-media3.fl.yelpcdn.com/bphoto/LeCXvab2S2DbcBEwKOfUnQ/o.jpg,false,https://www.yelp.com/biz/galloways-sandwich-shop-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,14,soulfood,Soul Food,southern,Southern,4.5,30.27398,-97.71937,$,1914 E 12th St,,,Austin,78702,US,TX,1914 E 12th St,"Austin, TX 78702",+15126603223,(512) 660-3223,715.7968342029051,,,,,
lMWjWBWLaf8nnFmVkmpfOQ,pranom-thai-popup-austin,Pranom Thai - Popup,,false,https://www.yelp.com/biz/pranom-thai-popup-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,2,thai,Thai,,,3,30.2801,-97.72081,,1902 B E Martin Luther King Junior Blvd,,,Austin,78702,US,TX,1902 B E Martin Luther King Junior Blvd,"Austin, TX 78702",,,301.5073046967139,,,,,
gXip--EE80jF-sqdk5Aghw,bennu-coffee-austin,Bennu Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/-sTsT7i-l8GXSep8TEy5CA/o.jpg,false,https://www.yelp.com/biz/bennu-coffee-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,619,coffee,Coffee & Tea,tacos,Tacos,4,30.27987,-97.71957,$,2001 E Martin Luther King Jr Blvd,,,Austin,78702,US,TX,2001 E Martin Luther King Jr Blvd,"Austin, TX 78702",+15124784700,(512) 478-4700,406.4395640110246,,pizza,Pizza,,
g3xgpfY6TtxL96xJTVmzOw,thunderbird-coffee-austin-2,Thunderbird Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/JNQkixlqBBQ8Kv7Sj04yHg/o.jpg,false,https://www.yelp.com/biz/thunderbird-coffee-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,370,coffee,Coffee & Tea,cafes,Cafes,4,30.2844181060791,-97.7193756103516,$,2200 Manor Rd,,,Austin,78722,US,TX,2200 Manor Rd,"Austin, TX 78722",+15124729900,(512) 472-9900,712.1185353520428,,,,,
