id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,rating,coordinates/latitude,coordinates/longitude,transactions/0,transactions/1,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,location/display_address/2,phone,display_phone,distance
XNPn1KRStDXxy7vc77Bp3w,college-roadhouse-austin-2,College RoadHouse,https://s3-media4.fl.yelpcdn.com/bphoto/EXjUvejeKVCFQPnoWMPv0A/o.jpg,false,https://www.yelp.com/biz/college-roadhouse-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,71,pubs,Pubs,korean,Korean,karaoke,Karaoke,4.5,30.3646543475126,-97.6943624764681,delivery,pickup,$$,9515 N Lamar Blvd,Ste 230,,Austin,78753,US,TX,9515 N Lamar Blvd,Ste 230,"Austin, TX 78753",+15126868215,(512) 686-8215,279.79251773315514
Moi9jsCSeYjpn1XnaNu39g,bombay-to-kathmandu-kitchen-austin,Bombay To Kathmandu Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/ZEhXJietpcJfRDYEO4mCyA/o.jpg,false,https://www.yelp.com/biz/bombay-to-kathmandu-kitchen-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,127,indpak,Indian,himalayan,Himalayan/Nepalese,,,4,30.3666867100134,-97.6953087335907,delivery,pickup,$$,9616 N Lamar Blvd,Ste 168,,Austin,78753,US,TX,9616 N Lamar Blvd,Ste 168,"Austin, TX 78753",+15124906432,(512) 490-6432,82.76237830915548
qUCk1-VQqo6o7F1jhqAbDA,tropicana-cuban-restaurant-austin,Tropicana Cuban Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/jPssVtt4Z8bmyKJyO5t6hw/o.jpg,false,https://www.yelp.com/biz/tropicana-cuban-restaurant-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,154,cuban,Cuban,cafes,Cafes,sandwiches,Sandwiches,4,30.3664948620654,-97.695752300925,,,$,9616 N Lamar Blvd,Ste 141,,Austin,78723,US,TX,9616 N Lamar Blvd,Ste 141,"Austin, TX 78723",+15126695242,(512) 669-5242,129.6168511536887
8FDt0a8jrJE8ClZuum8lUw,el-tacorrido-austin,El Tacorrido,https://s3-media1.fl.yelpcdn.com/bphoto/zC2PYIwRpQfcfnYjcY6MUg/o.jpg,false,https://www.yelp.com/biz/el-tacorrido-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,130,mexican,Mexican,,,,,4,30.3623251,-97.697608,,,$,9320 N Lamar Blvd,,,Austin,78753,US,TX,9320 N Lamar Blvd,"Austin, TX 78753",,+15128738602,(512) 873-8602,549.6168270679917
Ejt0AX9GVLQqXn1uFkQLag,marisco-grill-austin-4,Marisco Grill,https://s3-media2.fl.yelpcdn.com/bphoto/I9V3Qcv3wV8vyBg1BaZfTw/o.jpg,false,https://www.yelp.com/biz/marisco-grill-austin-4?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,15,seafood,Seafood,mexican,Mexican,soup,Soup,4,30.3651051811644,-97.6949187309106,,,$$,9515 N Lamar Blvd,Ste 102,,Austin,78753,US,TX,9515 N Lamar Blvd,Ste 102,"Austin, TX 78753",+15128212885,(512) 821-2885,229.9120677102731
lLM-tgAgtvggdGatB-KDeg,mango-king-loncheria-austin-2,Mango King Loncheria,https://s3-media2.fl.yelpcdn.com/bphoto/vrKyvqkYQ4eSnqAhYsuFVQ/o.jpg,false,https://www.yelp.com/biz/mango-king-loncheria-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,17,desserts,Desserts,icecream,Ice Cream & Frozen Yogurt,mexican,Mexican,5,30.3707504272461,-97.6921768188477,,,$,10205 N Lamar Blvd,Ste 135,,Austin,78753,US,TX,10205 N Lamar Blvd,Ste 135,"Austin, TX 78753",+15123000515,(512) 300-0515,464.1257321087698
TBYfd7U9o9dKWWH8r3anxQ,el-pollo-rico-austin-3,El Pollo Rico,https://s3-media2.fl.yelpcdn.com/bphoto/2J3FmPsKmaNb-DAOo16BDQ/o.jpg,false,https://www.yelp.com/biz/el-pollo-rico-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,36,mexican,Mexican,,,,,4,30.36625,-97.69459,,,$,9717 N Lamar Blvd,Ste B7,,Austin,78753,US,TX,9717 N Lamar Blvd,Ste B7,"Austin, TX 78753",+15129977300,(512) 997-7300,37.61319494568142
kJF10Aejys7iXKAsfiKL4g,swad-indian-vegetarian-restaurant-austin-2,Swad Indian Vegetarian Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/yUMed30MNcm1eBjnJworxw/o.jpg,false,https://www.yelp.com/biz/swad-indian-vegetarian-restaurant-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,337,indpak,Indian,,,,,4,30.36407,-97.69505,delivery,pickup,$,9515 N Lamar Blvd,Ste 156,,Austin,78753,US,TX,9515 N Lamar Blvd,Ste 156,"Austin, TX 78753",+15129977923,(512) 997-7923,318.45788822432786
Yxea3uvU5amNlOSzsli6fw,thomas-buffet-austin,Thomas Buffet,https://s3-media3.fl.yelpcdn.com/bphoto/F6X4OXGzJaVfcJ9lU02ObA/o.jpg,false,https://www.yelp.com/biz/thomas-buffet-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,99,chinese,Chinese,buffets,Buffets,sushi,Sushi Bars,2.5,30.3667401,-97.6951341,delivery,pickup,$$,9710 N Lamar Blvd,,,Austin,78758,US,TX,9710 N Lamar Blvd,"Austin, TX 78758",,+15122756698,(512) 275-6698,66.32198626147954
T4YHeC292cTVnc-6nhkZWQ,wingstop-austin-5,Wingstop,https://s3-media4.fl.yelpcdn.com/bphoto/aaEqZ2KIlRyQUs5LTScjDw/o.jpg,false,https://www.yelp.com/biz/wingstop-austin-5?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,22,chicken_wings,Chicken Wings,,,,,4,30.3665084838867,-97.696533203125,,,$$,9616 N Lamar Blvd,,,Austin,78753,US,TX,9616 N Lamar Blvd,"Austin, TX 78753",,+15128731294,(512) 873-1294,196.50415595129678
