id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,location/display_address/2,phone,display_phone,distance,categories/1/alias,categories/1/title,location/display_address/3,transactions/0,transactions/1,categories/2/alias,categories/2/title
lx_ml9N0Bi8g2AJW1itfeA,korean-grill-austin,Korean Grill,https://s3-media3.fl.yelpcdn.com/bphoto/1_PRpXwydC_9tFua2ghoSQ/o.jpg,false,https://www.yelp.com/biz/korean-grill-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,371,korean,Korean,4.5,30.378910719879,-97.6867842656067,$$,10901 N Lamar Blvd,Ste B204,,Austin,78753,US,TX,10901 N Lamar Blvd,Ste B204,"Austin, TX 78753",+15123390234,(512) 339-0234,110.94433001441078,,,,,,,
BCoVE-SCPwbcA88BVxjuFg,first-chinese-barbecue-austin,First Chinese Barbecue,https://s3-media4.fl.yelpcdn.com/bphoto/iAsILM1HK2xOnxk0ud996g/o.jpg,false,https://www.yelp.com/biz/first-chinese-barbecue-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,392,chinese,Chinese,4,30.3788135342932,-97.6864677649429,$,10901 N Lamar Blvd,Ste 401,Chinatown Center,Austin,78753,US,TX,10901 N Lamar Blvd,Ste 401,Chinatown Center,+15128358889,(512) 835-8889,143.1499016325621,bbq,Barbeque,"Austin, TX 78753",,,,
Gg7r_9nSBmVyOx80fpa7ug,tacos-y-tortas-el-chilango-austin-2,Tacos Y Tortas El Chilango,https://s3-media3.fl.yelpcdn.com/bphoto/JMAM3KNmlEvhPrTciDHe3Q/o.jpg,false,https://www.yelp.com/biz/tacos-y-tortas-el-chilango-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,31,foodtrucks,Food Trucks,4.5,30.3762,-97.68926,$,10721 N Lamar,,,Austin,78753,US,TX,10721 N Lamar,"Austin, TX 78753",,+15127854520,(512) 785-4520,365.8444810628336,mexican,Mexican,,,,,
4THc7ojs6ppNHKhLl74www,rice-bowl-cafe-austin,Rice Bowl Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/yB-T4XvZnYM115BXkLtjuQ/o.jpg,false,https://www.yelp.com/biz/rice-bowl-cafe-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,567,chinese,Chinese,4,30.382525452192,-97.6885507713028,$$,11220 N Lamar Blvd,,,Austin,78753,US,TX,11220 N Lamar Blvd,"Austin, TX 78753",,+15128358888,(512) 835-8888,374.5249635738605,taiwanese,Taiwanese,,pickup,delivery,,
FYNrcBd9C_mNipttGxkhhQ,new-fortune-chinese-seafood-restaurant-austin,New Fortune Chinese Seafood Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/4ibHORpQ6JKRVgDRvGkVmw/o.jpg,false,https://www.yelp.com/biz/new-fortune-chinese-seafood-restaurant-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,372,dimsum,Dim Sum,4,30.3776346736639,-97.6879827004826,$$,10901 N Lamar Blvd,Ste A-1,,Austin,78753,US,TX,10901 N Lamar Blvd,Ste A-1,"Austin, TX 78753",+15128329992,(512) 832-9992,174.95437425078646,seafood,Seafood,,,,,
gFSYUocORZz4xJNq6AWN1w,peace-bakery-and-deli-austin-3,Peace Bakery and Deli,https://s3-media4.fl.yelpcdn.com/bphoto/1sAhxnjQmHZVPGCkTchm6w/o.jpg,false,https://www.yelp.com/biz/peace-bakery-and-deli-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,319,mediterranean,Mediterranean,4.5,30.381804,-97.687232,$,11220 N Lamar Blvd,,,Austin,78753,US,TX,11220 N Lamar Blvd,"Austin, TX 78753",,+15123861152,(512) 386-1152,295.6788529076969,mideastern,Middle Eastern,,,,desserts,Desserts
1-WToB8DgyCljgukdaxUsw,pho-saigon-noodle-house-austin-2,Pho Saigon Noodle House,https://s3-media4.fl.yelpcdn.com/bphoto/Ua2RSSBAAPO0I7W4rDoHwA/o.jpg,false,https://www.yelp.com/biz/pho-saigon-noodle-house-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,644,vietnamese,Vietnamese,4,30.3780509244419,-97.6873283075485,$,10901 N Lamar Blvd,Ste A108,,Austin,78753,US,TX,10901 N Lamar Blvd,Ste A108,"Austin, TX 78753",+15128211022,(512) 821-1022,139.24571369096273,noodles,Noodles,,,,,
1tepUnoMCFEVMNE26ijYRQ,2n1-salad-bar-and-grill-austin-3,2N1 Salad Bar and Grill,https://s3-media1.fl.yelpcdn.com/bphoto/4kzTix4dyaErXru1DeMfAQ/o.jpg,false,https://www.yelp.com/biz/2n1-salad-bar-and-grill-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,57,salad,Salad,4.5,30.38264,-97.68884,$,901 W Braker Ln,,,Austin,78758,US,TX,901 W Braker Ln,"Austin, TX 78758",,+17374840909,(737) 484-0909,370.8629540003116,cheesesteaks,Cheesesteaks,,pickup,,tradamerican,American (Traditional)
Z_H0pY1cU5A1YIiBZ963kg,baguette-house-austin,Baguette House,https://s3-media2.fl.yelpcdn.com/bphoto/6qtcb8SC2LfwL7rpfAyruA/o.jpg,false,https://www.yelp.com/biz/baguette-house-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,333,vietnamese,Vietnamese,4,30.3771243408178,-97.6868110876968,$,10901 N Lamar Blvd,,,Austin,78753,US,TX,10901 N Lamar Blvd,"Austin, TX 78753",,+15128379100,(512) 837-9100,253.51585292851473,sandwiches,Sandwiches,,,,,
YBEGD2oBn_Ae1cEGuCF_Pw,duy-vietnamese-restaurant-austin,Duy Vietnamese Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/sQeWyJJz6S3Bd963Br0kpA/o.jpg,false,https://www.yelp.com/biz/duy-vietnamese-restaurant-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,136,vietnamese,Vietnamese,4,30.3781484037916,-97.6877042634458,$,10901 N Lamar Blvd,,Ste A 101,Austin,78753,US,TX,10901 N Lamar Blvd,Ste A 101,"Austin, TX 78753",+15123399991,(512) 339-9991,118.92695456777788,,,,,,,
