id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,location/display_address/2,transactions/0,transactions/1
xwHhz09uHHTuxJiuRbaS6Q,boteco-austin-3,Boteco,https://s3-media2.fl.yelpcdn.com/bphoto/L3cx0oErdp8uXBQaEcrVaQ/o.jpg,false,https://www.yelp.com/biz/boteco-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,331,foodtrucks,Food Trucks,brazilian,Brazilian,latin,Latin American,5,30.26431,-97.72789,$$,1403 E 7th St,,,Austin,78702,US,TX,1403 E 7th St,"Austin, TX 78702",,,633.3234017508526,,,
-JqrUI1y8jaUQma7t2ShUA,revelry-kitchen-bar-austin,Revelry Kitchen + Bar,https://s3-media1.fl.yelpcdn.com/bphoto/pdeFTJN94qJiB4cTn2ld1A/o.jpg,false,https://www.yelp.com/biz/revelry-kitchen-bar-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,137,tradamerican,American (Traditional),cocktailbars,Cocktail Bars,,,4,30.2637173006037,-97.7277220894538,$$,1410 E 6th St,,,Austin,78702,US,TX,1410 E 6th St,"Austin, TX 78702",+15123225223,(512) 322-5223,590.1486468054408,,,
cYsillXIBTJzaxxC3-5wJg,las-trancas-austin,Las Trancas,https://s3-media3.fl.yelpcdn.com/bphoto/lDowfEkdTI8eYHpA_rA5yQ/o.jpg,false,https://www.yelp.com/biz/las-trancas-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,205,mexican,Mexican,foodtrucks,Food Trucks,,,4.5,30.2596927300688,-97.731671333313,$,1210 E Cesar Chavez St,,,Austin,78702,US,TX,1210 E Cesar Chavez St,"Austin, TX 78702",+15127018287,(512) 701-8287,39.37017021222317,,,
eDAQ_dfy-bik-GWg20_CUw,eastside-tavern-austin,EastSide Tavern,https://s3-media1.fl.yelpcdn.com/bphoto/Gxmr_vsRMybiF72FuvbIZA/o.jpg,false,https://www.yelp.com/biz/eastside-tavern-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,201,bars,Bars,bbq,Barbeque,tradamerican,American (Traditional),4,30.2589905157159,-97.7287379999974,$$,1510 E Cesar Chavez,,,Austin,78702,US,TX,1510 E Cesar Chavez,"Austin, TX 78702",+15128401799,(512) 840-1799,258.25658360137743,,,
cM-qEu8khiRs_qzfGQsUPQ,bufalina-austin,Bufalina,https://s3-media2.fl.yelpcdn.com/bphoto/MbZqkf1mFTjl0mJxD7GgGA/o.jpg,false,https://www.yelp.com/biz/bufalina-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,412,pizza,Pizza,italian,Italian,,,4,30.2584294,-97.72879,$$,1519 E Cesar Chavez,Ste 200,,Austin,78702,US,TX,1519 E Cesar Chavez,Ste 200,+15125242523,(512) 524-2523,272.8507326986829,"Austin, TX 78702",,
_BbODcinangkwNvVwpvfuA,cenote-austin-13,Cenote,https://s3-media4.fl.yelpcdn.com/bphoto/1Z1cUR7yrnfjE2AKQTEOuQ/o.jpg,false,https://www.yelp.com/biz/cenote-austin-13?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,595,coffee,Coffee & Tea,cafes,Cafes,newamerican,American (New),4,30.2605580485887,-97.7336812427286,$,1010 E Cesar Chavez St,,,Austin,78702,US,TX,1010 E Cesar Chavez St,"Austin, TX 78702",+15125241311,(512) 524-1311,253.6007186058547,,,
5fI9ZzqzRLnMNYoTMjUGGQ,grannys-tacos-austin,Granny's Tacos,https://s3-media3.fl.yelpcdn.com/bphoto/d3W6qsmu3Oe0Jw6WEx7zTQ/o.jpg,false,https://www.yelp.com/biz/grannys-tacos-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,103,foodtrucks,Food Trucks,tacos,Tacos,breakfast_brunch,Breakfast & Brunch,5,30.2642655487135,-97.7281585084058,$,1401 E 7th St,,,Austin,78702,US,TX,1401 E 7th St,"Austin, TX 78702",+15129645068,(512) 964-5068,618.233614214956,,,
fAw1VGWzFWGUVQRWWUZLwQ,lichas-cantina-austin,Licha's Cantina,https://s3-media1.fl.yelpcdn.com/bphoto/BAUsv-cxzzTSte01G3UL2g/o.jpg,false,https://www.yelp.com/biz/lichas-cantina-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,431,bars,Bars,mexican,Mexican,gluten_free,Gluten-Free,4,30.264108,-97.728966,$$,1306 E 6th St,,,Austin,78702,US,TX,1306 E 6th St,"Austin, TX 78702",+15124805960,(512) 480-5960,567.3346461886083,,,
OlB0841vj4V7Wje5tTtLWA,buenos-aires-café-este-austin-2,Buenos Aires Café - Este,https://s3-media2.fl.yelpcdn.com/bphoto/m2mQ5bd8tYwABcflndIZtg/o.jpg,false,https://www.yelp.com/biz/buenos-aires-caf%C3%A9-este-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,541,argentine,Argentine,,,,,4,30.26414,-97.73044,$$,1201 E 6th St,,,Austin,78702,US,TX,1201 E 6th St,"Austin, TX 78702",+15123821189,(512) 382-1189,536.8567515272902,,pickup,delivery
mWDRxwPt8HgOdrNyckv99A,rollin-smoke-bbq-austin,Rollin Smoke BBQ,https://s3-media3.fl.yelpcdn.com/bphoto/UKNeCcmAx8mP8v4z9We9Cg/o.jpg,false,https://www.yelp.com/biz/rollin-smoke-bbq-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,122,bbq,Barbeque,foodstands,Food Stands,foodtrucks,Food Trucks,4.5,30.2628836718604,-97.7268981039445,$,1501 E 6th St,,,Austin,78702,US,TX,1501 E 6th St,"Austin, TX 78702",+15127055499,(512) 705-5499,575.0278232774217,,pickup,delivery
lsRleM36bHBJLciEqCATIA,la-matta-austin,La Matta,https://s3-media2.fl.yelpcdn.com/bphoto/eYTBsUFUZO4L5V4RzxZAAg/o.jpg,false,https://www.yelp.com/biz/la-matta-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,26,sandwiches,Sandwiches,italian,Italian,wine_bars,Wine Bars,4,30.26222,-97.72673,$$,501 Comal St,,,Austin,78702,US,TX,501 Comal St,"Austin, TX 78702",+15125808772,(512) 580-8772,535.7209520033839,,,
tZfQ_H2Gx96pLhMvNcUMOw,artessano-austin,Artessano,https://s3-media3.fl.yelpcdn.com/bphoto/93vtPonlQU7zCLs8ZUatag/o.jpg,false,https://www.yelp.com/biz/artessano-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,62,colombian,Colombian,foodtrucks,Food Trucks,juicebars,Juice Bars & Smoothies,4.5,30.2639255523682,-97.7298965454102,$,1211 E 6th St,,,Austin,78702,US,TX,1211 E 6th St,"Austin, TX 78702",+15123875353,(512) 387-5353,517.714721332552,,pickup,
Unl62KlI0kwF8pToy7QjSA,vic-and-als-austin,Vic & Al's,https://s3-media3.fl.yelpcdn.com/bphoto/OxbnapIg7RL59iZNPzySKg/o.jpg,false,https://www.yelp.com/biz/vic-and-als-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,6,foodtrucks,Food Trucks,cajun,Cajun/Creole,,,5,30.26224,-97.72948,,1308 E 4th St,,,Austin,78702,US,TX,1308 E 4th St,"Austin, TX 78702",+15125225880,(512) 522-5880,352.89186954948065,,,
JM4gK13DvAzGpdPeae3wVQ,halal-time-austin,Halal Time,https://s3-media1.fl.yelpcdn.com/bphoto/9KywIKgXeEfjy291IgfiTg/o.jpg,false,https://www.yelp.com/biz/halal-time-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,71,foodtrucks,Food Trucks,halal,Halal,falafel,Falafel,5,30.2631107184963,-97.7272480692696,$,1501 E 6th St,,,Austin,78702,US,TX,1501 E 6th St,"Austin, TX 78702",+15127503746,(512) 750-3746,568.1636135310658,,pickup,
bN49DwqWOEE8m2-8DXBkFA,the-doughminican-austin,The Doughminican,https://s3-media3.fl.yelpcdn.com/bphoto/96p0GWfaS6mHIwFJ745cig/o.jpg,false,https://www.yelp.com/biz/the-doughminican-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,40,foodtrucks,Food Trucks,dominican,Dominican,empanadas,Empanadas,5,30.2644723213631,-97.7278832257754,$,1403 E 7th St,,,Austin,78702,US,TX,1403 E 7th St,"Austin, TX 78702",+17187723378,(718) 772-3378,651.4583675601428,,pickup,
HOxIyvEoe23wnOGsf8xk_Q,way-south-philly-austin,Way South Philly,https://s3-media3.fl.yelpcdn.com/bphoto/7aI7zQuZeKZOFyUcHIuEbQ/o.jpg,false,https://www.yelp.com/biz/way-south-philly-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,285,cheesesteaks,Cheesesteaks,foodtrucks,Food Trucks,catering,Caterers,4.5,30.2640899,-97.730161,$,1209 E 6th St,,,Austin,78702,US,TX,1209 E 6th St,"Austin, TX 78702",+15127716969,(512) 771-6969,529.0307364293849,,pickup,
QdprxDshnPvtNwo0y9oqIA,kebabalicious-austin-3,Kebabalicious,https://s3-media1.fl.yelpcdn.com/bphoto/3_v_ZzyOchUMIO7L5C2bew/o.jpg,false,https://www.yelp.com/biz/kebabalicious-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,187,turkish,Turkish,,,,,4,30.264476,-97.728304,$,1311 E 7th St,,,Austin,78702,US,TX,1311 E 7th St,"Austin, TX 78702",+15123946562,(512) 394-6562,631.9738576542941,,,
1IHu0wSbU8SnkhS_I--Ehg,masala-medley-austin,Masala Medley,https://s3-media2.fl.yelpcdn.com/bphoto/sF6-Pc2LQtq6JEYj15AuMg/o.jpg,false,https://www.yelp.com/biz/masala-medley-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,63,indpak,Indian,foodtrucks,Food Trucks,,,4.5,30.26395,-97.72988,$,1211 E 6th St,,,Austin,78702,US,TX,1211 E 6th St,"Austin, TX 78702",+15125789276,(512) 578-9276,517.714721332552,,pickup,delivery
