id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,transactions/0,transactions/1,location/display_address/2
KIHoGUfCOLhBFQVSAN4QSg,suerte-austin,Suerte,https://s3-media2.fl.yelpcdn.com/bphoto/eBpzO07AQvJNtymrDIyl9A/o.jpg,false,https://www.yelp.com/biz/suerte-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,56,mexican,Mexican,4.5,30.26228,-97.72331,$$$,1800 E 6th St,,,Austin,78702,US,TX,1800 E 6th St,"Austin, TX 78702",+15129530092,(512) 953-0092,593.0888247287647,,,,,,,
iprkfoFv7JR3J1Dt5cIwyg,mission-dogs-austin-2,Mission Dogs,https://s3-media1.fl.yelpcdn.com/bphoto/S5YmsaOXxM0it4K4x5XvLQ/o.jpg,false,https://www.yelp.com/biz/mission-dogs-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,60,hotdog,Hot Dogs,4.5,30.257579,-97.726537,$,1701 E Cesar Chavez St,Ste B,,Austin,78702,US,TX,1701 E Cesar Chavez St,Ste B,,,22.147907039286828,asianfusion,Asian Fusion,newamerican,American (New),delivery,pickup,"Austin, TX 78702"
cM-qEu8khiRs_qzfGQsUPQ,bufalina-austin,Bufalina,https://s3-media2.fl.yelpcdn.com/bphoto/MbZqkf1mFTjl0mJxD7GgGA/o.jpg,false,https://www.yelp.com/biz/bufalina-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,412,pizza,Pizza,4,30.2584294,-97.72879,$$,1519 E Cesar Chavez,Ste 200,,Austin,78702,US,TX,1519 E Cesar Chavez,Ste 200,+15125242523,(512) 524-2523,224.06075889381208,italian,Italian,,,,,"Austin, TX 78702"
5OAi35OianJzCnIsL8aOFQ,veracruz-all-natural-austin-6,Veracruz All Natural,https://s3-media1.fl.yelpcdn.com/bphoto/oWfndb_g6HJxpyQ9o1LF5g/o.jpg,false,https://www.yelp.com/biz/veracruz-all-natural-austin-6?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,581,foodtrucks,Food Trucks,4.5,30.25793,-97.72603,$,1704 E Cesar Chavez St,,,Austin,78702,US,TX,1704 E Cesar Chavez St,"Austin, TX 78702",+15129811760,(512) 981-1760,64.27246254359018,mexican,Mexican,,,,,
eDAQ_dfy-bik-GWg20_CUw,eastside-tavern-austin,EastSide Tavern,https://s3-media1.fl.yelpcdn.com/bphoto/Gxmr_vsRMybiF72FuvbIZA/o.jpg,false,https://www.yelp.com/biz/eastside-tavern-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,201,bars,Bars,4,30.2589905157159,-97.7287379999974,$$,1510 E Cesar Chavez,,,Austin,78702,US,TX,1510 E Cesar Chavez,"Austin, TX 78702",+15128401799,(512) 840-1799,247.18108031615967,bbq,Barbeque,tradamerican,American (Traditional),,,
EPkf96UcG2W3ttlQphWUGQ,la-barbecue-austin-3,la Barbecue,https://s3-media1.fl.yelpcdn.com/bphoto/ikhh2SEBOhuVOcv6Zmlu5w/o.jpg,false,https://www.yelp.com/biz/la-barbecue-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1729,bbq,Barbeque,4.5,30.2561254,-97.7223386,$$,2027 E Cesar Chavez St,,,Austin,78702,US,TX,2027 E Cesar Chavez St,"Austin, TX 78702",+15126059696,(512) 605-9696,447.07043357083666,foodtrucks,Food Trucks,sandwiches,Sandwiches,,,
T75xVfaKzMF1HDWhkc2Ndw,hot-mess-austin-3,Hot Mess,https://s3-media4.fl.yelpcdn.com/bphoto/Zr4Z_rs06ZlCHCqKLsmFAw/o.jpg,false,https://www.yelp.com/biz/hot-mess-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,96,foodtrucks,Food Trucks,4.5,30.26212,-97.72452,$,1701 E 6th St,,,Austin,78702,US,TX,1701 E 6th St,"Austin, TX 78702",+15127108332,(512) 710-8332,513.6460728866942,bbq,Barbeque,burgers,Burgers,,,
irE73-NU8kJ35AvY-R9zig,tamale-house-east-austin,Tamale House East,https://s3-media1.fl.yelpcdn.com/bphoto/fUQSGrOh2aNO_hoFJhQVgQ/o.jpg,false,https://www.yelp.com/biz/tamale-house-east-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,307,mexican,Mexican,4,30.2615296296076,-97.7244004474619,$,1707 E 6th St,,,Austin,78702,US,TX,1707 E 6th St,"Austin, TX 78702",+15124959504,(512) 495-9504,467.3082365231173,breakfast_brunch,Breakfast & Brunch,tex-mex,Tex-Mex,,,
llvK6bU7b8wQTk-lU8n7Yw,arlos-austin-4,Arlo's,https://s3-media2.fl.yelpcdn.com/bphoto/VN2E9peSmKXGkUSxdKXoeQ/o.jpg,false,https://www.yelp.com/biz/arlos-austin-4?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,56,comfortfood,Comfort Food,4.5,30.262648,-97.724139,$,1700 E 6th St,,,Austin,78702,US,TX,1700 E 6th St,"Austin, TX 78702",+15128401840,(512) 840-1840,590.6508580698253,vegan,Vegan,burgers,Burgers,,,
hT8ihPNLAasb5RIkUVcW0w,east-side-king-austin-15,East Side King,https://s3-media2.fl.yelpcdn.com/bphoto/lxd948EI5b3IKx01GQQYFw/o.jpg,false,https://www.yelp.com/biz/east-side-king-austin-15?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,518,asianfusion,Asian Fusion,4,30.2626674,-97.7251338,$,1618 1/2 E 6th S,,,Austin,78702,US,TX,1618 1/2 E 6th S,"Austin, TX 78702",+15124078166,(512) 407-8166,561.6645341929689,foodtrucks,Food Trucks,,,,,
