id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,location/display_address/2,transactions/0
JW3SkLOUfGhcVQGosoozUA,launderette-austin,Launderette,https://s3-media2.fl.yelpcdn.com/bphoto/zrxIFaBWOlDxXkrWmo4riQ/o.jpg,false,https://www.yelp.com/biz/launderette-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,752,newamerican,American (New),breakfast_brunch,Breakfast & Brunch,wine_bars,Wine Bars,4,30.25193,-97.72273,$$,2115 Holly St,,,Austin,78702,US,TX,2115 Holly St,"Austin, TX 78702",+15123821599,(512) 382-1599,483.9868136649835,,
i1GWpxJ1Phm2awhVaTkouA,juniper-austin,Juniper,https://s3-media2.fl.yelpcdn.com/bphoto/Cyl9I82XMZfeFJpsavi05g/o.jpg,false,https://www.yelp.com/biz/juniper-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,226,italian,Italian,modern_european,Modern European,newamerican,American (New),4,30.25486,-97.71762,$$$,2400 E Cesar Chavez,Ste 304,,Austin,78702,US,TX,2400 E Cesar Chavez,Ste 304,+15122209421,(512) 220-9421,405.99035320702245,"Austin, TX 78702",
qt2UknagkAEnwBnLf2m__g,in-the-coconut-austin-3,In The Coconut,https://s3-media4.fl.yelpcdn.com/bphoto/EjfABKh7jpYEdsP-OXhLmQ/o.jpg,false,https://www.yelp.com/biz/in-the-coconut-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,8,southern,Southern,cajun,Cajun/Creole,,,4.5,30.25568,-97.72109,$,2125 E Cesar Chavez St,,,Austin,78702,US,TX,2125 E Cesar Chavez St,"Austin, TX 78702",+15128881597,(512) 888-1597,77.8677612267036,,pickup
EPkf96UcG2W3ttlQphWUGQ,la-barbecue-austin-3,la Barbecue,https://s3-media1.fl.yelpcdn.com/bphoto/ikhh2SEBOhuVOcv6Zmlu5w/o.jpg,false,https://www.yelp.com/biz/la-barbecue-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1729,bbq,Barbeque,foodtrucks,Food Trucks,sandwiches,Sandwiches,4.5,30.2561254,-97.7223386,$$,2027 E Cesar Chavez St,,,Austin,78702,US,TX,2027 E Cesar Chavez St,"Austin, TX 78702",+15126059696,(512) 605-9696,61.52904632890957,,
bJbJyH6sZeltbBIbe32R8g,juan-in-a-million-austin-2,Juan In A Million,https://s3-media2.fl.yelpcdn.com/bphoto/vIdQx8WRYPYi_G193VVEZA/o.jpg,false,https://www.yelp.com/biz/juan-in-a-million-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1471,mexican,Mexican,breakfast_brunch,Breakfast & Brunch,tex-mex,Tex-Mex,4,30.2552660599625,-97.7190592909029,$,2300 E Cesar Chavez St,,,Austin,78702,US,TX,2300 E Cesar Chavez St,"Austin, TX 78702",+15124723872,(512) 472-3872,270.96078574587057,,
fTwvEZw8tvF73QxcX-5TdA,mongers-market-kitchen-austin-2,Mongers Market + Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/geEdWhzSDbYMVJCeR3KikQ/o.jpg,false,https://www.yelp.com/biz/mongers-market-kitchen-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,248,seafood,Seafood,,,,,4,30.254511,-97.717614,$$,2401 E Cesar Chavez,,,Austin,78702,US,TX,2401 E Cesar Chavez,"Austin, TX 78702",+15122158972,(512) 215-8972,431.50818225260156,,
1t9mjYJYG816byi0aB_Qbw,the-lucky-belly-austin,The Lucky Belly,https://s3-media3.fl.yelpcdn.com/bphoto/ITyxiCDMMJoDfUFAvtIlqA/o.jpg,false,https://www.yelp.com/biz/the-lucky-belly-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,50,foodtrucks,Food Trucks,thai,Thai,,,4,30.255145,-97.720078,$,2207 E Cesar Chavez,,,Austin,78702,US,TX,2207 E Cesar Chavez,"Austin, TX 78702",+15124262624,(512) 426-2624,190.1535981260437,,pickup
cfYWWw8579WMWe4oFsa6Gw,taquería-chapala-austin-4,Taquería Chapala,https://s3-media4.fl.yelpcdn.com/bphoto/mF32at1S4qmk9mak8aHmFw/o.jpg,false,https://www.yelp.com/biz/taquer%C3%ADa-chapala-austin-4?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,132,mexican,Mexican,spanish,Spanish,,,4,30.2560165363549,-97.7219330540115,$,2101 E Cesar Chavez St,,,Austin,78702,US,TX,2101 E Cesar Chavez St,"Austin, TX 78702",+15123200308,(512) 320-0308,25.754871629297657,,
F6b_O4-wtd3956YOvAoerg,hi-hat-public-house-austin,Hi Hat Public House,https://s3-media2.fl.yelpcdn.com/bphoto/bFCiYJ9wI_Gr3WQKqOEmIg/o.jpg,false,https://www.yelp.com/biz/hi-hat-public-house-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,200,newamerican,American (New),bars,Bars,,,4.5,30.26023,-97.71893,$$,2121 E 6th St,,,Austin,78702,US,TX,2121 E 6th St,"Austin, TX 78702",+15124788700,(512) 478-8700,528.5458156274159,,
5OAi35OianJzCnIsL8aOFQ,veracruz-all-natural-austin-6,Veracruz All Natural,https://s3-media1.fl.yelpcdn.com/bphoto/oWfndb_g6HJxpyQ9o1LF5g/o.jpg,false,https://www.yelp.com/biz/veracruz-all-natural-austin-6?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,581,foodtrucks,Food Trucks,mexican,Mexican,,,4.5,30.25793,-97.72603,$,1704 E Cesar Chavez St,,,Austin,78702,US,TX,1704 E Cesar Chavez St,"Austin, TX 78702",+15129811760,(512) 981-1760,454.34852950808664,,
