id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,categories/2/alias,categories/2/title,location/display_address/2,transactions/0,transactions/1
Gg7r_9nSBmVyOx80fpa7ug,tacos-y-tortas-el-chilango-austin-2,Tacos Y Tortas El Chilango,https://s3-media3.fl.yelpcdn.com/bphoto/JMAM3KNmlEvhPrTciDHe3Q/o.jpg,false,https://www.yelp.com/biz/tacos-y-tortas-el-chilango-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,31,foodtrucks,Food Trucks,mexican,Mexican,4.5,30.3762,-97.68926,$,10721 N Lamar,,,Austin,78753,US,TX,10721 N Lamar,"Austin, TX 78753",+15127854520,(512) 785-4520,636.706726159092,,,,,
lLM-tgAgtvggdGatB-KDeg,mango-king-loncheria-austin-2,Mango King Loncheria,https://s3-media2.fl.yelpcdn.com/bphoto/vrKyvqkYQ4eSnqAhYsuFVQ/o.jpg,false,https://www.yelp.com/biz/mango-king-loncheria-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,17,desserts,Desserts,icecream,Ice Cream & Frozen Yogurt,5,30.3707504272461,-97.6921768188477,$,10205 N Lamar Blvd,Ste 135,,Austin,78753,US,TX,10205 N Lamar Blvd,Ste 135,+15123000515,(512) 300-0515,53.19896868679599,mexican,Mexican,"Austin, TX 78753",,
Moi9jsCSeYjpn1XnaNu39g,bombay-to-kathmandu-kitchen-austin,Bombay To Kathmandu Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/ZEhXJietpcJfRDYEO4mCyA/o.jpg,false,https://www.yelp.com/biz/bombay-to-kathmandu-kitchen-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,127,indpak,Indian,himalayan,Himalayan/Nepalese,4,30.3666867100134,-97.6953087335907,$$,9616 N Lamar Blvd,Ste 168,,Austin,78753,US,TX,9616 N Lamar Blvd,Ste 168,+15124906432,(512) 490-6432,576.2900489580076,,,"Austin, TX 78753",delivery,pickup
qUCk1-VQqo6o7F1jhqAbDA,tropicana-cuban-restaurant-austin,Tropicana Cuban Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/jPssVtt4Z8bmyKJyO5t6hw/o.jpg,false,https://www.yelp.com/biz/tropicana-cuban-restaurant-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,154,cuban,Cuban,cafes,Cafes,4,30.3664948620654,-97.695752300925,$,9616 N Lamar Blvd,Ste 141,,Austin,78723,US,TX,9616 N Lamar Blvd,Ste 141,+15126695242,(512) 669-5242,616.3395941541993,sandwiches,Sandwiches,"Austin, TX 78723",,
k69jIL6VfzuIMmED_CEAkg,chuys-austin-9,Chuy's,https://s3-media3.fl.yelpcdn.com/bphoto/WEblXecfKiWCXTh54dSBdQ/o.jpg,false,https://www.yelp.com/biz/chuys-austin-9?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,331,tex-mex,Tex-Mex,mexican,Mexican,4,30.3751687,-97.6905747,$$,10520 and 10601 N Lamar Blvd,,,Austin,78753,US,TX,10520 and 10601 N Lamar Blvd,"Austin, TX 78753",+15128363218,(512) 836-3218,473.1614611893599,,,,delivery,
k8zC6EKsEA_zPMERW4dnhQ,maudies-north-lamar-austin-2,Maudie's North Lamar,https://s3-media2.fl.yelpcdn.com/bphoto/ZtF2CvONJoAH0umX7dy1bw/o.jpg,false,https://www.yelp.com/biz/maudies-north-lamar-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,266,tex-mex,Tex-Mex,diners,Diners,3.5,30.3711140788907,-97.6914373913583,$,10205 N Lamar,,,Austin,78753,US,TX,10205 N Lamar,"Austin, TX 78753",+15128320900,(512) 832-0900,89.04906616589012,tacos,Tacos,,,
TBYfd7U9o9dKWWH8r3anxQ,el-pollo-rico-austin-3,El Pollo Rico,https://s3-media2.fl.yelpcdn.com/bphoto/2J3FmPsKmaNb-DAOo16BDQ/o.jpg,false,https://www.yelp.com/biz/el-pollo-rico-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,36,mexican,Mexican,,,4,30.36625,-97.69459,$,9717 N Lamar Blvd,Ste B7,,Austin,78753,US,TX,9717 N Lamar Blvd,Ste B7,+15129977300,(512) 997-7300,512.1763987036439,,,"Austin, TX 78753",,
7U6taCZqDyz-4kcpKt-OAg,taqueria-su-destino-austin,Taqueria Su Destino,https://s3-media1.fl.yelpcdn.com/bphoto/ptGi2ZYH52idPSebTYVPNg/o.jpg,false,https://www.yelp.com/biz/taqueria-su-destino-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,3,foodtrucks,Food Trucks,mexican,Mexican,5,30.3757798992111,-97.6902999356389,,10600 N Lamar Blvd,,,Austin,78753,US,TX,10600 N Lamar Blvd,"Austin, TX 78753",+14049556734,(404) 955-6734,546.0560739702624,,,,,
T4YHeC292cTVnc-6nhkZWQ,wingstop-austin-5,Wingstop,https://s3-media4.fl.yelpcdn.com/bphoto/aaEqZ2KIlRyQUs5LTScjDw/o.jpg,false,https://www.yelp.com/biz/wingstop-austin-5?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,22,chicken_wings,Chicken Wings,,,4,30.3665084838867,-97.696533203125,$$,9616 N Lamar Blvd,,,Austin,78753,US,TX,9616 N Lamar Blvd,"Austin, TX 78753",+15128731294,(512) 873-1294,672.677679818314,,,,,
Yxea3uvU5amNlOSzsli6fw,thomas-buffet-austin,Thomas Buffet,https://s3-media3.fl.yelpcdn.com/bphoto/F6X4OXGzJaVfcJ9lU02ObA/o.jpg,false,https://www.yelp.com/biz/thomas-buffet-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,99,chinese,Chinese,buffets,Buffets,2.5,30.3667401,-97.6951341,$$,9710 N Lamar Blvd,,,Austin,78758,US,TX,9710 N Lamar Blvd,"Austin, TX 78758",+15122756698,(512) 275-6698,563.014744259927,sushi,Sushi Bars,,delivery,pickup
