id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,location/display_address/2,location/display_address/3,transactions/0,categories/2/alias,categories/2/title
Gg7r_9nSBmVyOx80fpa7ug,tacos-y-tortas-el-chilango-austin-2,Tacos Y Tortas El Chilango,https://s3-media3.fl.yelpcdn.com/bphoto/JMAM3KNmlEvhPrTciDHe3Q/o.jpg,false,https://www.yelp.com/biz/tacos-y-tortas-el-chilango-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,31,foodtrucks,Food Trucks,mexican,Mexican,4.5,30.3762,-97.68926,$,10721 N Lamar,,,Austin,78753,US,TX,10721 N Lamar,"Austin, TX 78753",+15127854520,(512) 785-4520,143.60223224711478,,,,,
lx_ml9N0Bi8g2AJW1itfeA,korean-grill-austin,Korean Grill,https://s3-media3.fl.yelpcdn.com/bphoto/1_PRpXwydC_9tFua2ghoSQ/o.jpg,false,https://www.yelp.com/biz/korean-grill-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,374,korean,Korean,,,4.5,30.378910719879,-97.6867842656067,$$,10901 N Lamar Blvd,Ste B204,,Austin,78753,US,TX,10901 N Lamar Blvd,Ste B204,+15123390234,(512) 339-0234,520.889438539761,"Austin, TX 78753",,,,
FYNrcBd9C_mNipttGxkhhQ,new-fortune-chinese-seafood-restaurant-austin,New Fortune Chinese Seafood Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/4ibHORpQ6JKRVgDRvGkVmw/o.jpg,false,https://www.yelp.com/biz/new-fortune-chinese-seafood-restaurant-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,374,dimsum,Dim Sum,seafood,Seafood,4,30.3776346736639,-97.6879827004826,$$,10901 N Lamar Blvd,Ste A-1,,Austin,78753,US,TX,10901 N Lamar Blvd,Ste A-1,+15128329992,(512) 832-9992,338.46882075054765,"Austin, TX 78753",,,,
1-WToB8DgyCljgukdaxUsw,pho-saigon-noodle-house-austin-2,Pho Saigon Noodle House,https://s3-media4.fl.yelpcdn.com/bphoto/Ua2RSSBAAPO0I7W4rDoHwA/o.jpg,false,https://www.yelp.com/biz/pho-saigon-noodle-house-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,644,vietnamese,Vietnamese,noodles,Noodles,4,30.3780509244419,-97.6873283075485,$,10901 N Lamar Blvd,Ste A108,,Austin,78753,US,TX,10901 N Lamar Blvd,Ste A108,+15128211022,(512) 821-1022,413.38640508092146,"Austin, TX 78753",,,,
BCoVE-SCPwbcA88BVxjuFg,first-chinese-barbecue-austin,First Chinese Barbecue,https://s3-media4.fl.yelpcdn.com/bphoto/iAsILM1HK2xOnxk0ud996g/o.jpg,false,https://www.yelp.com/biz/first-chinese-barbecue-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,393,chinese,Chinese,bbq,Barbeque,4,30.3788135342932,-97.6864677649429,$,10901 N Lamar Blvd,Ste 401,Chinatown Center,Austin,78753,US,TX,10901 N Lamar Blvd,Ste 401,+15128358889,(512) 835-8889,531.3517678571122,Chinatown Center,"Austin, TX 78753",,,
k69jIL6VfzuIMmED_CEAkg,chuys-austin-9,Chuy's,https://s3-media3.fl.yelpcdn.com/bphoto/WEblXecfKiWCXTh54dSBdQ/o.jpg,false,https://www.yelp.com/biz/chuys-austin-9?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,331,tex-mex,Tex-Mex,mexican,Mexican,4,30.3751687,-97.6905747,$$,10520 and 10601 N Lamar Blvd,,,Austin,78753,US,TX,10520 and 10601 N Lamar Blvd,"Austin, TX 78753",+15128363218,(512) 836-3218,51.106596484280516,,,delivery,,
Z_H0pY1cU5A1YIiBZ963kg,baguette-house-austin,Baguette House,https://s3-media2.fl.yelpcdn.com/bphoto/6qtcb8SC2LfwL7rpfAyruA/o.jpg,false,https://www.yelp.com/biz/baguette-house-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,333,vietnamese,Vietnamese,sandwiches,Sandwiches,4,30.3771243408178,-97.6868110876968,$,10901 N Lamar Blvd,,,Austin,78753,US,TX,10901 N Lamar Blvd,"Austin, TX 78753",+15128379100,(512) 837-9100,378.9831696841939,,,,,
YBEGD2oBn_Ae1cEGuCF_Pw,duy-vietnamese-restaurant-austin,Duy Vietnamese Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/sQeWyJJz6S3Bd963Br0kpA/o.jpg,false,https://www.yelp.com/biz/duy-vietnamese-restaurant-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,137,vietnamese,Vietnamese,,,4,30.3781484037916,-97.6877042634458,$,10901 N Lamar Blvd,,Ste A 101,Austin,78753,US,TX,10901 N Lamar Blvd,Ste A 101,+15123399991,(512) 339-9991,400.61258780401556,"Austin, TX 78753",,,,
lLM-tgAgtvggdGatB-KDeg,mango-king-loncheria-austin-2,Mango King Loncheria,https://s3-media2.fl.yelpcdn.com/bphoto/vrKyvqkYQ4eSnqAhYsuFVQ/o.jpg,false,https://www.yelp.com/biz/mango-king-loncheria-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,17,desserts,Desserts,icecream,Ice Cream & Frozen Yogurt,5,30.3707504272461,-97.6921768188477,$,10205 N Lamar Blvd,Ste 135,,Austin,78753,US,TX,10205 N Lamar Blvd,Ste 135,+15123000515,(512) 300-0515,531.6821080078379,"Austin, TX 78753",,,mexican,Mexican
zerPYZ-lid5CG27a1-7YMw,tc-noodle-house-austin,TC Noodle House,https://s3-media1.fl.yelpcdn.com/bphoto/lNIYnbwII2kmp7trJ3mCxg/o.jpg,false,https://www.yelp.com/biz/tc-noodle-house-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,186,noodles,Noodles,,,3.5,30.3791143465074,-97.6871061306884,$,10901 N Lamar Blvd,Ste B-203,,Austin,78753,US,TX,10901 N Lamar Blvd,Ste B-203,+15128738235,(512) 873-8235,521.8853949288614,"Austin, TX 78753",,,,
